Year,Month,Latin America,Europe,Africa,Middle East,Asia Pacific,Total Intl.,Canada,U.S,Total World
2011,Feb,412,118,94,292,273,1189,629,1718,3536
2011,Mar,415,118,65,288,261,1147,567,1720,3434
2011,Apr,402,112,72,289,254,1129,184,1790,3103
2011,May,410,110,82,294,255,1151,143,1836,3130
2011,Jun,438,113,73,290,244,1158,236,1863,3257
2011,Jul,438,120,61,287,244,1150,347,1900,3397
2011,Aug,441,128,75,287,252,1183,473,1957,3613
2011,Sep,432,120,78,292,252,1174,510,1978,3662
2011,Oct,438,122,81,297,259,1197,508,2017,3722
2011,Nov,422,122,86,308,247,1185,487,2011,3683
2011,Dec,438,112,79,304,247,1180,429,2003,3612
2010,Jan,374,86,74,260,253,1047,459,1267,2773
2010,Feb,382,85,84,258,259,1068,564,1350,2982
2010,Mar,378,94,82,261,259,1074,386,1419,2879
2010,Apr,370,103,85,254,262,1074,123,1479,2676
2010,May,395,88,85,254,268,1090,147,1513,2750
2010,Jun,388,97,84,259,271,1099,229,1531,2859
2010,Jul,387,98,79,273,272,1109,350,1573,3032
2010,Aug,388,84,84,271,275,1102,387,1638,3127
2010,Sep,381,94,88,276,281,1120,347,1655,3122
2010,Oct,377,95,83,270,274,1099,398,1668,3165
2010,Nov,393,100,87,274,276,1130,420,1683,3233
2010,Dec,385,105,79,267,282,1118,398,1711,3227
